Dataset,Model,Preprocessor,Fit Time (s),Predict Time (s),Peak Memory (MB),Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,Average Precision,Error
credit,Random Forest,Uniform Binning,4.610049676895142,0.1698453664779663,6.656546592712402,0.6423177661674966,0.7015758009539483,0.6423177661674966,0.6596128016785661,0.4790430340433126,
credit,Random Forest,Quantile Binning,4.784264016151428,0.19482247829437255,6.656416893005371,0.6532825446272981,0.72634381524063,0.6532825446272981,0.6740349923304576,0.5157247343055997,
credit,Random Forest,Random Undersampling,3.048129916191101,0.13759200572967528,6.651433944702148,0.7058278534933646,0.6640406645601786,0.7058278534933646,0.6745730888765508,0.5278660487112672,
credit,Random Forest,SMOTE,13.336419558525085,0.16962358951568604,6.651440620422363,0.6676090640639403,0.7159060323873936,0.6676090640639403,0.6842763157517542,0.5111511937065252,
credit,MLP,Baseline,5.384728622436524,0.030246973037719727,6.6739959716796875,0.5691273693906711,0.6106129331332821,0.5691273693906711,0.538918426179053,0.3282181467807198,
credit,MLP,Yeo-Johnson,54.80447378158569,0.03897922039031983,6.653863906860352,0.6460148528242754,0.6955639038372302,0.6460148528242754,0.6613874067205275,0.4811302152010848,
credit,MLP,Quantile Transform,52.15060217380524,0.05318007469177246,6.65425968170166,0.6512888524698088,0.703951998420641,0.6512888524698088,0.667791173943514,0.4828629225883011,
credit,MLP,Min-Max Scaler,53.98337926864624,0.034256935119628906,6.653724670410156,0.6492679481615523,0.731315681192733,0.6492679481615523,0.6706295153036048,0.5101567565811781,
credit,MLP,Standard Scaler,53.374955487251285,0.028841447830200196,6.653834342956543,0.6506265155169905,0.7094736754930759,0.6506265155169905,0.6682586010725532,0.488704179667203,
credit,MLP,Robust Scaler,38.32134408950806,0.030053043365478517,6.654146194458008,0.6468732877787238,0.7197169062586062,0.6468732877787238,0.6664185777934314,0.5030783464618068,
credit,MLP,Uniform Binning,55.09167828559875,0.02873096466064453,6.654488563537598,0.6467230803093325,0.7159505535812422,0.6467230803093325,0.6657833481928164,0.487493377677909,
credit,MLP,Quantile Binning,41.218321561813354,0.030065250396728516,6.65450382232666,0.6491748092617917,0.7077674953238684,0.6491748092617917,0.666610968091904,0.48328913995651945,
credit,MLP,Random Undersampling,2.1274664402008057,0.025337958335876466,6.674914360046387,0.563733846795096,0.5709273581028258,0.563733846795096,0.5125415434624231,0.2918807387108082,
credit,MLP,SMOTE,16.91565909385681,0.0260603666305542,6.649343490600586,0.571106714077537,0.5728905777577913,0.571106714077537,0.531361085123924,0.29484665421770606,
shoppers,Gaussian Naive Bayes,Baseline,0.03129458427429199,0.025140595436096192,9.36563491821289,0.7229999573171425,0.637854641201082,0.7229999573171425,0.6489505860560936,0.42837014288531317,
