Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kc2,XGBoost,IQR Removal,8,,0.0660299999999551,0.0026121999999304,,,45.0,367.0,7.0,51.0,0.9481673351158646,0.8456160084720723,0.5783974551514225,1.0,39.0,2.0,10.0,0.7139689578713969,0.4288753433138459,0.0737915550622407,
kc2,XGBoost,IQR Removal,9,,0.059927800000878,0.003023100000064,,,69.0,359.0,15.0,27.0,0.9552696078431372,0.8479358646136157,0.714133698278723,7.0,37.0,4.0,4.0,0.8669623059866962,0.6824820569501421,0.5388026607538803,
kc2,XGBoost,IQR Removal,10,,0.0655489999990095,0.002631499999552,,,42.0,369.0,5.0,54.0,0.9446579768270944,0.8383141239330636,0.5699704467430112,0.0,39.0,2.0,11.0,0.5764966740576497,0.344877885462301,-0.1035939540565624,
kc2,XGBoost,IQR Removal + Scaling,1,,0.117390699999305,0.0046063999998295,0.5975542068481445,0.1264486312866211,70.0,362.0,11.0,26.0,0.9603161304736372,0.8791775911089337,0.7468418884511505,6.0,36.0,6.0,5.0,0.8257575757575757,0.5710306971072521,0.3901300514950186,
kc2,XGBoost,IQR Removal + Scaling,2,,0.0580932000011671,0.0045117999998183,,,39.0,354.0,19.0,57.0,0.9281585120643432,0.765026557420229,0.4354763629013419,4.0,37.0,5.0,7.0,0.7348484848484849,0.4498155467720685,0.2641860385714604,
kc2,XGBoost,IQR Removal + Scaling,3,,0.0685630999996647,0.0042110000013053,,,54.0,356.0,17.0,43.0,0.9269644288438684,0.7856354929709712,0.5776322924677331,0.0,39.0,3.0,10.0,0.7511904761904763,0.4399031127602556,-0.1207363221040738,
kc2,XGBoost,IQR Removal + Scaling,4,,0.0607529999997495,0.0028065000005881,,,51.0,362.0,11.0,46.0,0.9567867112572898,0.8554079943733313,0.5935309732205504,4.0,41.0,1.0,6.0,0.861904761904762,0.7064502164502164,0.502919541122592,
kc2,XGBoost,IQR Removal + Scaling,5,,0.0737396000004082,0.004399800000101,,,43.0,369.0,4.0,54.0,0.9584450402144772,0.863638785551241,0.5835562109672451,0.0,40.0,2.0,10.0,0.8595238095238096,0.4898562548562548,-0.0975900072948533,
kc2,XGBoost,IQR Removal + Scaling,6,,0.062207799999669,0.0043918000010307,,,37.0,364.0,10.0,59.0,0.9123913770053476,0.7589194553575506,0.4820120444678552,1.0,40.0,1.0,10.0,0.6618625277161863,0.4529050272365781,0.1412644828044033,
kc2,XGBoost,IQR Removal + Scaling,7,,0.0663514000007126,0.0026589999997668,,,80.0,355.0,19.0,16.0,0.9600044563279856,0.8962767449940047,0.7736927450873158,5.0,36.0,5.0,6.0,0.6751662971175165,0.4131362390931768,0.344650047684635,
